Taxon id;Global sorteringsordning;Vetenskapligt namn;Svenskt namn;Kategori;Observationer;Landskapstyp;RedListCategory;Rödlistningskriterium
102164;4033;Amara littorea;matt kornlöpare;Art;26;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;EN;B2ab(iii)
103450;4038;Amara montivaga;blågrön kornlöpare;Art;66;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;VU;B2ab(iii)
102010;4056;Zabrus tenebrioides;axlöpare;Art;15;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;VU°;B1ab(iii)c(iv)+2ab(iii)c(iv)
103287;4076;Nebria livida;spöklöpare;Art;266;Havsstrand (H) - Stor betydelse, Våtmark (V) - Stor betydelse;VU;B2ab(iii)
103289;4077;Nebria nivalis;snölöpare;Art;107;Fjäll (F) - Stor betydelse, Våtmark (V) - Stor betydelse;NT;B2b(iii)
103296;4089;Notiophilus fasciatus;granögonlöpare;Art;179;Skog (S) - Stor betydelse;NT;B2ab(iii)
100666;4104;Clivina collaris;brokig mullvadslöpare;Art;42;Våtmark (V) - Stor betydelse, Havsstrand (H) - Har betydelse, Urban miljö (U) - Har betydelse;EN;B1ab(iii)+2ab(iii)
100871;4108;Dyschirius angustatus;mjälgrävare;Art;54;Våtmark (V) - Stor betydelse, Havsstrand (H) - Har betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii)
100872;4109;Dyschirius chalceus;saltgrävare;Art;30;Havsstrand (H) - Stor betydelse, Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;EN;B2ab(iii)c(iv)
100873;4112;Dyschirius impunctipennis;dyngrävare;Art;38;Havsstrand (H) - Stor betydelse, Våtmark (V) - Stor betydelse;EN;B2ab(iii)c(iv)
100874;4113;Dyschirius intermedius;ågrävare;Art;69;Våtmark (V) - Stor betydelse, Havsstrand (H) - Har betydelse, Urban miljö (U) - Har betydelse;NT;B2b(iii)c(iv)
100875;4114;Dyschirius laeviusculus;brantgrävare;Art;5;Våtmark (V) - Stor betydelse, Havsstrand (H) - Har betydelse, Urban miljö (U) - Har betydelse;EN;B1ab(iii)c(iv)+2ab(iii)c(iv)
100466;4142;Bembidion argenteolum;silverlöpare;Art;125;Våtmark (V) - Stor betydelse;VU;B2ab(iii)
100465;4151;Bembidion bualei;havsstrandlöpare;Art;61;Havsstrand (H) - Stor betydelse, Våtmark (V) - Stor betydelse;VU;B2ab(iii)
100468;4184;Bembidion humerale;torvlöpare;Art;72;Våtmark (V) - Stor betydelse, Skog (S) - Har betydelse, Urban miljö (U) - Har betydelse;NT;B2b(iii)c(iv)
102194;4193;Bembidion litorale;brokig spegellöpare;Art;242;Våtmark (V) - Stor betydelse;NT;B2ab(iii)
208475;4198;Bembidion mckinleyi;blågrön strandlöpare;Art;31;Fjäll (F) - Stor betydelse, Våtmark (V) - Stor betydelse;NT;B2b(iii)
102196;4203;Bembidion nigricorne;ljungkvicklöpare;Art;82;Urban miljö (U) - Stor betydelse, Havsstrand (H) - Har betydelse, Jordbrukslandskap (J) - Har betydelse, Skog (S) - Har betydelse, Våtmark (V) - Har betydelse;NT;B2ab(iii,iv)
102197;4212;Bembidion petrosum;älvstrandlöpare;Art;12;Fjäll (F) - Stor betydelse, Våtmark (V) - Stor betydelse;EN;B2ab(iii)c(iv)
100470;4221;Bembidion ruficolle;gul strandlöpare;Art;153;Urban miljö (U) - Stor betydelse, Våtmark (V) - Stor betydelse;NT;B2b(iii)
100471;4226;Bembidion semipunctatum;brokstrandlöpare;Art;88;Våtmark (V) - Stor betydelse;VU;B2ab(iii)
100472;4227;Bembidion stephensii;källkvicklöpare;Art;106;Havsstrand (H) - Stor betydelse, Våtmark (V) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2b(iii)
100469;4251;Ocys quinquestriatus;murlöpare;Art;62;Urban miljö (U) - Stor betydelse;VU;B2ab(iii)
101515;4269;Patrobus australis;lövsumplöpare;Art;40;Våtmark (V) - Stor betydelse, Skog (S) - Har betydelse, Urban miljö (U) - Har betydelse;NT;B2b(iii)
101611;4276;Pogonus luridipennis;gulvingad saltlöpare;Art;45;Havsstrand (H) - Stor betydelse;EN;B1ab(iii)c(iv)+2ab(iii)c(iv)
100183;4280;Aepus marinus;tidvattenslöpare;Art;44;Havsstrand (H) - Stor betydelse;NT;B2ab(iii)
101527;4284;Perileptus areolatus;dvärgstrandlöpare;Art;61;Våtmark (V) - Stor betydelse;NT;B2b(iii)
100187;4314;Agabus clypealis;;Art;100;Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse;VU;B1ab(iii)c(iv)+2ab(iii)c(iv)
100188;4319;Agabus conspersus;;Art;22;Havsstrand (H) - Stor betydelse, Sötvatten (L) - Stor betydelse;NT;B2ab(iii)c(iv)
102331;4374;Rhantus bistriatus;;Art;39;Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2b(iii)
101705;4377;Rhantus fennicus;finsk gulbuk;Art;15;Sötvatten (L) - Stor betydelse;NT;B2b(iii)
100878;4408;Dytiscus circumflexus;;Art;25;Sötvatten (L) - Stor betydelse;NT;B2b(iii)
101084;4417;Hydaticus continentalis;;Art;68;Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;EN;B2ab(iii,iv)
101157;4543;Laccophilus biguttatus;;Art;19;Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse;NT;B2ab(iii)
101158;4546;Laccophilus poecilus;;Art;22;Brackvatten (B) - Stor betydelse, Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse, Havsstrand (H) - Har betydelse;VU;B2ab(iii)
102203;4571;Brychius elevatus;;Art;206;Sötvatten (L) - Stor betydelse;NT;B2ab(iii)
101521;4599;Peltodytes caesus;;Art;45;Sötvatten (L) - Stor betydelse, Våtmark (V) - Stor betydelse;NT;B2b(iii)
101718;4612;Rhysodes sulcatus;hakbagge;Art;0;Skog (S) - Stor betydelse;RE;
101913;4615;Trachypachus zetterstedti;nordglanslöpare;Art;21;Skog (S) - Stor betydelse;VU;B2ab(iii)
102308;4620;Sphaerius acaroides;;Art;27;Våtmark (V) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2b(iii)
100500;4627;Bostrichus capucinus;rödvingad kapuschongbagge;Art;203;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse, Urban miljö (U) - Har betydelse;NT;B2ab(iii)
101849;4661;Stephanopachys linearis;slät tallkapuschongbagge;Art;863;Skog (S) - Stor betydelse;NT;B2b(iii)c(iii,iv)
101850;4663;Stephanopachys substriatus;grov tallkapuschongbagge;Art;266;Skog (S) - Stor betydelse;VU;B2b(iii)c(iii,iv)
102297;4671;Lyctus linearis;eksplintbagge;Art;148;Jordbrukslandskap (J) - Stor betydelse, Skog (S) - Stor betydelse;VU;B2ab(iii)
100431;4687;Attagenus punctatus;;Art;34;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse, Urban miljö (U) - Har betydelse;VU;B1ab(iii)+2ab(iii)
105247;4703;Dermestes gyllenhalii;;Art;70;Havsstrand (H) - Stor betydelse, Våtmark (V) - Stor betydelse;NT;B2ab(iii)
100813;4711;Dermestes palmi;urskogsänger;Art;111;Skog (S) - Stor betydelse;VU;B2ab(iii,iv)
100997;4731;Globicornis corticalis;barkänger;Art;55;Skog (S) - Stor betydelse, Jordbrukslandskap (J) - Har betydelse;NT;B2ab(iii)
