Taxon id;Global sorteringsordning;Vetenskapligt namn;Svenskt namn;Kategori;Observationer;Landskapstyp;RedListCategory;Rödlistningskriterium
223826;104778;Brassica rapa subsp. oleifera;rybs;Underart;1434;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;NA;
223827;104779;Brassica rapa subsp. rapa;rova;Underart;79;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;NA;
220444;104780;Brassica tournefortii;medelhavskål;Art;23;Urban miljö (U) - Stor betydelse;NA;
221605;104788;Bunias erucago;vingdådra;Art;2;Urban miljö (U) - Stor betydelse;NA;
220451;104803;Camelina anomala;smaldådra;Art;4;Urban miljö (U) - Stor betydelse;NA;
264646;104806;Camelina microcarpa subsp. microcarpa;;Underart;141;Urban miljö (U) - Stor betydelse;NA;
220453;104808;Camelina rumelica;balkandådra;Art;12;Urban miljö (U) - Stor betydelse;NA;
223834;104811;Camelina sativa subsp. zingeri;ryssdådra;Underart;5;Urban miljö (U) - Stor betydelse;NA;
220456;104814;Capsella grandiflora;storlomme;Art;0;Urban miljö (U) - Stor betydelse;NA;
220457;104815;Capsella rubella;rödlomme;Art;0;Urban miljö (U) - Stor betydelse;NA;
220462;104824;Cardamine heptaphylla;violtandrot;Art;19;Urban miljö (U) - Stor betydelse;NA;
6002897;104827;Cardamine kitaibelii;ljusgul tandrot;Art;38;Urban miljö (U) - Stor betydelse;NA;
6028243;104830;Cardamine occulta;risbräsma;Art;155;;NA;
220466;104832;Cardamine pentaphyllos;fingertandrot;Art;75;Urban miljö (U) - Stor betydelse;NA;
221396;104841;Carrichtera annua;skedsenap;Art;0;Urban miljö (U) - Stor betydelse;NA;
220424;104843;Catolobus pendula;sloktrav;Art;0;Urban miljö (U) - Stor betydelse;NA;
219773;104845;Chorispora tenella;hönsrättika;Art;87;Urban miljö (U) - Stor betydelse;NA;
219732;104856;Coincya monensis;lacksenap/brittsenap;Art;18;Urban miljö (U) - Stor betydelse;NA;
223845;104857;Coincya monensis subsp. cheiranthos;lacksenap;Underart;4;Urban miljö (U) - Stor betydelse;NA;
223844;104858;Coincya monensis subsp. monensis;brittsenap;Underart;0;Urban miljö (U) - Stor betydelse;NA;
220477;104861;Conringia orientalis;kåltrav;Art;252;Urban miljö (U) - Stor betydelse;NA;
220478;104862;Conringia planisiliqua;turkisk kåltrav;Art;5;Urban miljö (U) - Stor betydelse;NA;
265586;104865;Crambe cordifolia;stäppkål;Art;57;;NA;
220098;104866;Crambe hispanica;oljekål;Art;25;Urban miljö (U) - Stor betydelse;NA;
222418;104869;Descurainia argentina;cordobastillfrö;Art;1;Urban miljö (U) - Stor betydelse;NA;
264647;104870;Descurainia incana;grått stillfrö;Art;0;Urban miljö (U) - Stor betydelse;NA;
220484;104871;Descurainia pinnata;indianstillfrö;Art;2;Urban miljö (U) - Stor betydelse;NA;
222744;104874;Diplotaxis catholica;sågsenap;Art;0;Urban miljö (U) - Stor betydelse;NA;
220487;104875;Diplotaxis erucoides;vit mursenap;Art;32;Urban miljö (U) - Stor betydelse;NA;
220488;104876;Diplotaxis muralis;mursenap;Art;2601;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;NA;
235027;104880;Draba aizoides;barrdraba;Art;3;Urban miljö (U) - Stor betydelse;NA;
220503;104904;Draba sibirica;krypdraba;Art;24;Urban miljö (U) - Stor betydelse;NA;
220507;104933;Erophila setulosa;syrisk nagelört;Art;0;Urban miljö (U) - Stor betydelse;;
220509;104936;Eruca vesicaria;senapskål;Art;514;Urban miljö (U) - Stor betydelse;NA;
223858;104937;Eruca vesicaria subsp. sativa;äkta senapskål;Underart;272;Urban miljö (U) - Stor betydelse;NA;
223859;104938;Eruca vesicaria subsp. vesicaria;vild senapskål;Underart;0;Urban miljö (U) - Stor betydelse;NA;
220510;104942;Erucastrum abyssinicum;afrikasenap;Art;15;Urban miljö (U) - Stor betydelse;NA;
220602;104943;Erucastrum austroafricanum;boersenap;Art;14;Urban miljö (U) - Stor betydelse;NA;
623;104944;Erucastrum gallicum;kålsenap;Art;868;Jordbrukslandskap (J) - Stor betydelse, Urban miljö (U) - Stor betydelse;NA;
220513;104951;Erysimum cheiri;gyllenlack;Art;215;Urban miljö (U) - Stor betydelse;NA;
220514;104953;Erysimum inconspicuum;indiankårel;Art;3;Urban miljö (U) - Stor betydelse;NA;
235050;104954;Erysimum marschallianum;hårdkårel;Art;125;Urban miljö (U) - Stor betydelse;NA;
265609;104955;Erysimum x marshallii;sommarkårel;Art;18;;NA;
220515;104956;Erysimum odoratum;kalkkårel;Art;4;Urban miljö (U) - Stor betydelse;NA;
220516;104957;Erysimum repandum;rysskårel;Art;70;Urban miljö (U) - Stor betydelse;NA;
220518;104959;Erysimum sylvestre;;Art;0;Urban miljö (U) - Stor betydelse;NA;
6012048;104960;Erysimum witmannii;karpaterkårel;Art;6;;NA;
222833;104962;Euclidium syriacum;näbbdådra;Art;13;Urban miljö (U) - Stor betydelse;NA;
222497;104968;Heliophila linearifolia;;Art;0;Urban miljö (U) - Stor betydelse;NA;
6051601;104971;Hesperis bicuspidata;turkhesperis;Art;2;;NA;
220800;104972;Hesperis matronalis;hesperis;Art;9434;Urban miljö (U) - Stor betydelse;NA;
220522;104973;Hesperis pycnotricha;rysshesperis;Art;178;Urban miljö (U) - Stor betydelse;NA;
220523;104974;Hesperis tristis;sorgört;Art;225;Urban miljö (U) - Stor betydelse;NA;
221950;104976;Hirschfeldia incana;gråsenap;Art;60;Urban miljö (U) - Stor betydelse;NA;
264650;104978;Hornungia alpina;alpkrassing;Art;24;Urban miljö (U) - Stor betydelse;NA;
220527;104982;Iberis amara;blomsteriberis;Art;320;Havsstrand (H) - Stor betydelse, Urban miljö (U) - Stor betydelse;NA;
223862;104983;Iberis amara var. amara;vanlig blomsteriberis;Varietet;1;Havsstrand (H) - Stor betydelse, Urban miljö (U) - Stor betydelse;NA;
264651;104986;Iberis odorata;doftiberis;Art;2;Urban miljö (U) - Stor betydelse;NA;
220528;104987;Iberis pectinata;;Art;1;Urban miljö (U) - Stor betydelse;NA;
220529;104988;Iberis sempervirens;vinteriberis;Art;209;Urban miljö (U) - Stor betydelse;NA;
220530;104989;Iberis umbellata;roseniberis;Art;687;Urban miljö (U) - Stor betydelse;NA;
220214;104991;Ionopsidium acaule;violkrassing;Art;5;Urban miljö (U) - Stor betydelse;NA;
221508;104994;Isatis quadrialata;boreavia;Art;0;Urban miljö (U) - Stor betydelse;NA;
221683;104997;Lepidium auriculatum;skedkrassing;Art;1;Urban miljö (U) - Stor betydelse;NA;
220534;104998;Lepidium austrinum;texaskrassing;Art;7;Urban miljö (U) - Stor betydelse;NA;
220535;104999;Lepidium bonariense;flikkrassing;Art;43;Urban miljö (U) - Stor betydelse;NA;
220537;105003;Lepidium densiflorum;bankrassing;Art;2019;Urban miljö (U) - Stor betydelse;NA;
221187;105004;Lepidium didymum;hamnkrassing;Art;478;Urban miljö (U) - Stor betydelse;NA;
223840;105006;Lepidium draba subsp. chalepense;syrisk krassing;Underart;3;Urban miljö (U) - Stor betydelse;NA;
220538;105008;Lepidium graminifolium;gräskrassing;Art;1;Urban miljö (U) - Stor betydelse;NA;
220539;105009;Lepidium heterophyllum;vallkrassing;Art;2013;Urban miljö (U) - Stor betydelse;NA;
220541;105011;Lepidium neglectum;rundkrassing;Art;609;Urban miljö (U) - Stor betydelse;NA;
220542;105012;Lepidium nitidum;;Art;0;Urban miljö (U) - Stor betydelse;NA;
220543;105013;Lepidium perfoliatum;hjulkrassing;Art;216;Urban miljö (U) - Stor betydelse;NA;
220544;105014;Lepidium ramosissimum;grenkrassing;Art;23;Urban miljö (U) - Stor betydelse;NA;
220546;105016;Lepidium sativum;smörgåskrasse;Art;489;Urban miljö (U) - Stor betydelse;NA;
220547;105017;Lepidium spicatum;axkrassing;Art;4;Urban miljö (U) - Stor betydelse;NA;
220548;105018;Lepidium spinosum;taggkrassing;Art;1;Urban miljö (U) - Stor betydelse;NA;
220549;105019;Lepidium virginicum;virginiakrassing;Art;416;Urban miljö (U) - Stor betydelse;NA;
